                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7882,                 2.6238,                 1.9968,                0.14286,                0.00299,                0.00216,                0.00028,                 5.2824,                 69.718,                 40.124,               0.070769,              0.0032479,              0.0032479
                      2,                 1.8865,                 2.3314,                 2.0122,                0.14286,                0.00299,                0.00216,                0.00028,                 4.2765,                 11.212,                 57.896,               0.040639,              0.0064509,              0.0064509
                      3,                 1.7528,                 2.1979,                 1.9395,                0.00815,                0.04776,                0.00334,                0.00078,                 4.4124,                 3.2654,                 11.897,               0.010377,              0.0095219,              0.0095219
                      4,                 1.7215,                 2.1159,                 1.9454,                  9e-05,                0.00597,                  5e-05,                  1e-05,                 4.2707,                 5.7473,                 6.0712,               0.009406,               0.009406,               0.009406
                      5,                 1.7315,                 2.1101,                 1.9263,                0.07683,                0.18209,                0.03927,                0.00921,                 3.2933,                 3.4319,                 5.0474,               0.009406,               0.009406,               0.009406
                      6,                 1.6742,                 2.0412,                 1.8614,                0.08725,                0.22687,                0.06287,                0.01548,                 3.1857,                 2.5159,                 3.9766,               0.009208,               0.009208,               0.009208
                      7,                 1.5893,                 2.0072,                 1.8073,                0.53392,                0.56764,                0.51648,                0.17749,                 2.1562,                  1.868,                 2.8383,                0.00901,                0.00901,                0.00901
                      8,                 1.5946,                 2.0253,                 1.8142,                0.52139,                0.59403,                0.53667,                0.19478,                 1.9096,                 1.7979,                 2.4244,               0.008812,               0.008812,               0.008812
                      9,                 1.5903,                 2.0203,                 1.7928,                0.59924,                 0.5791,                0.60247,                0.25467,                 1.7637,                 1.7314,                 2.2184,               0.008614,               0.008614,               0.008614
                     10,                 1.5921,                 1.9555,                 1.7685,                0.47852,                0.41493,                0.36286,                0.12117,                 2.3342,                 2.1151,                 2.7862,               0.008416,               0.008416,               0.008416
                     11,                 1.5157,                 1.9511,                  1.742,                0.71988,                0.57015,                0.65356,                0.27621,                 1.8087,                 1.6421,                 2.1249,               0.008218,               0.008218,               0.008218
                     12,                 1.4836,                 1.8964,                  1.692,                0.64988,                0.60896,                0.65092,                0.23963,                 1.9269,                 1.6721,                 2.3012,                0.00802,                0.00802,                0.00802
                     13,                 1.5252,                 1.8922,                 1.7194,                0.45989,                0.46866,                0.42494,                0.15094,                 2.0831,                 1.9244,                  2.422,               0.007822,               0.007822,               0.007822
                     14,                 1.5513,                 1.8658,                 1.7279,                 0.6251,                0.64207,                 0.6567,                0.27872,                 1.7588,                  1.652,                 2.0872,               0.007624,               0.007624,               0.007624
                     15,                 1.4929,                 1.8832,                 1.7076,                0.67091,                0.56119,                0.60461,                 0.2644,                 1.7454,                 1.7022,                 2.0976,               0.007426,               0.007426,               0.007426
                     16,                 1.4102,                 1.7789,                 1.6583,                0.65177,                 0.5791,                0.62013,                0.26732,                 1.7828,                 1.6267,                 2.1144,               0.007228,               0.007228,               0.007228
                     17,                 1.4506,                 1.8031,                 1.6852,                 0.6281,                0.57978,                0.63264,                 0.2886,                 1.8675,                 1.6654,                 2.1681,                0.00703,                0.00703,                0.00703
                     18,                 1.4193,                 1.8233,                 1.6506,                0.56707,                0.52537,                0.52611,                 0.1978,                 1.8627,                 1.9123,                 2.1824,               0.006832,               0.006832,               0.006832
                     19,                 1.4404,                  1.817,                 1.6513,                0.66816,                0.62508,                0.66925,                0.29026,                 1.7867,                  1.551,                 2.0492,               0.006634,               0.006634,               0.006634
                     20,                 1.4508,                 1.8331,                 1.6663,                0.74454,                0.61493,                0.70819,                 0.3234,                 1.6482,                 1.5915,                 2.0501,               0.006436,               0.006436,               0.006436
                     21,                 1.4153,                 1.8077,                 1.6408,                0.65421,                 0.4806,                0.54199,                0.18737,                 2.2111,                 1.7283,                 2.4057,               0.006238,               0.006238,               0.006238
                     22,                 1.4179,                  1.762,                   1.64,                0.68574,                0.60576,                0.69475,                0.29685,                  1.703,                  1.484,                 2.0562,                0.00604,                0.00604,                0.00604
                     23,                  1.402,                 1.7766,                  1.636,                0.67464,                 0.6004,                0.67186,                0.28914,                 1.7718,                 1.5075,                 2.1316,               0.005842,               0.005842,               0.005842
                     24,                 1.4034,                 1.7608,                 1.6386,                0.66586,                0.67815,                0.69214,                0.28086,                 1.7327,                 1.5432,                 2.0258,               0.005644,               0.005644,               0.005644
                     25,                 1.3554,                 1.7379,                 1.5992,                0.66036,                0.58806,                 0.6401,                0.29167,                 1.7574,                 1.5943,                 2.0547,               0.005446,               0.005446,               0.005446
                     26,                 1.3492,                 1.7738,                 1.6119,                0.68649,                0.61442,                0.65926,                0.30678,                 1.7079,                  1.757,                 2.0461,               0.005248,               0.005248,               0.005248
                     27,                 1.3125,                 1.6764,                 1.5755,                0.73277,                0.67938,                0.70308,                 0.3264,                 1.6307,                 1.4821,                 1.9498,                0.00505,                0.00505,                0.00505
                     28,                 1.3613,                 1.7271,                 1.5948,                0.66631,                 0.6806,                0.65981,                0.32481,                 1.5527,                 1.5857,                  1.858,               0.004852,               0.004852,               0.004852
                     29,                 1.3345,                 1.7251,                 1.5892,                0.63877,                0.66269,                0.67792,                0.28318,                 1.7013,                 1.4951,                 2.0768,               0.004654,               0.004654,               0.004654
                     30,                 1.3395,                  1.716,                 1.5858,                0.68304,                0.65672,                0.68594,                 0.2944,                 1.7868,                 1.5576,                 2.0435,               0.004456,               0.004456,               0.004456
                     31,                 1.2839,                 1.7017,                  1.566,                0.68347,                0.68322,                0.68291,                0.30489,                 1.6925,                 1.5456,                  2.041,               0.004258,               0.004258,               0.004258
                     32,                 1.2995,                 1.6716,                 1.5616,                0.69791,                0.75224,                0.75005,                0.33107,                 1.6554,                 1.4828,                 1.9748,                0.00406,                0.00406,                0.00406
                     33,                 1.3352,                 1.6487,                 1.5944,                0.67157,                0.71045,                0.70626,                0.30936,                 1.7271,                  1.458,                  2.057,               0.003862,               0.003862,               0.003862
                     34,                  1.281,                 1.6654,                 1.5416,                0.70637,                0.68221,                0.70868,                0.34623,                 1.5698,                 1.4999,                 1.9105,               0.003664,               0.003664,               0.003664
                     35,                  1.292,                 1.6276,                 1.5526,                0.72987,                0.71343,                0.72194,                0.33562,                 1.6099,                 1.4488,                 1.9182,               0.003466,               0.003466,               0.003466
                     36,                 1.2617,                 1.6432,                 1.5504,                0.67018,                0.77313,                0.70289,                0.34891,                 1.5516,                 1.4329,                 1.8952,               0.003268,               0.003268,               0.003268
                     37,                 1.2868,                 1.6249,                 1.5584,                0.63864,                0.71642,                 0.6957,                0.35352,                 1.5769,                 1.3814,                  1.886,                0.00307,                0.00307,                0.00307
                     38,                 1.2654,                  1.618,                 1.5259,                0.73161,                 0.7242,                0.73917,                0.36824,                 1.5846,                 1.4096,                 1.9498,               0.002872,               0.002872,               0.002872
                     39,                 1.2608,                 1.6461,                 1.5362,                0.72159,                0.76119,                0.74474,                0.34733,                  1.607,                 1.4355,                  1.909,               0.002674,               0.002674,               0.002674
